price,milage,transmission_type,first_registration,recent_hu,power,extras
8790,162196,Automatik,11/1993,Neu,191,"[""Bordcomputer"", ""Elektr. Fensterheber"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Raucherpaket"", ""Sitzheizung"", ""Sommerreifen"", ""Soundsystem"", ""Sportsitze"", ""Tuner/Radio""]"
10990,190000,Schaltgetriebe,02/1992,02/2021,112,"[""CD-Spieler"", ""Elektr. Fensterheber"", ""Garantie"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nichtraucher-Fahrzeug"", ""Scheckheftgepflegt"", ""Servolenkung"", ""Sommerreifen"", ""Tuner/Radio"", ""Zentralverriegelung""]"
1590,170000,Automatik,01/1995,Neu,102,"[""ABS"", ""Allwetterreifen"", ""Ambiente-Beleuchtung"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""ESP"", ""Leichtmetallfelgen"", ""Nichtraucher-Fahrzeug"", ""Sportpaket"", ""Sportsitze"", ""Tuner/Radio"", ""Winterreifen""]"
1340,236778,Schaltgetriebe,02/2000,unknown,118,"[""ABS"", ""Armlehne"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Wegfahrsperre"", ""Leichtmetallfelgen"", ""Servolenkung"", ""Traktionskontrolle"", ""Zentralverriegelung""]"
3900,164000,Schaltgetriebe,04/1998,02/2021,115,"[""ABS"", ""Armlehne"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Servolenkung"", ""Traktionskontrolle"", ""Zentralverriegelung""]"
2950,252841,Schaltgetriebe,01/2001,03/2022,118,"[""ABS"", ""Armlehne"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Servolenkung"", ""Sitzheizung"", ""Sportfahrwerk"", ""Traktionskontrolle"", ""Zentralverriegelung""]"
7590,117000,Schaltgetriebe,05/2006,03/2022,149,"[""ABS"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Sitzeinstellung"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Innenspiegel autom. abblendend"", ""Isofix"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Lichtsensor"", ""Multifunktionslenkrad"", ""Navigationssystem"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Notrad"", ""Partikelfilter"", ""Regensensor"", ""Reifendruckkontrolle"", ""Scheckheftgepflegt"", ""Scheinwerferreinigung"", ""Servolenkung"", ""Sitzheizung"", ""Soundsystem"", ""Tempomat"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Winterreifen"", ""Xenonscheinwerfer"", ""Zentralverriegelung""]"
4499,195278,Schaltgetriebe,10/1995,07/2021,115,"[""ABS"", ""Armlehne"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Seitenspiegel"", ""Elektr. Wegfahrsperre"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Notrad"", ""Raucherpaket"", ""Scheckheftgepflegt"", ""Servolenkung"", ""Sommerreifen"", ""Sportsitze"", ""Tuner/Radio"", ""Zentralverriegelung""]"
3900,218000,Automatik,12/2000,Neu,170,"[""ABS"", ""Armlehne"", ""Bordcomputer"", ""CD-Spieler"", ""Elektr. Fensterheber"", ""Elektr. Wegfahrsperre"", ""ESP"", ""Lederlenkrad"", ""Leichtmetallfelgen"", ""Multifunktionslenkrad"", ""Nebelscheinwerfer"", ""Scheckheftgepflegt"", ""Schiebedach"", ""Servolenkung"", ""Sitzheizung"", ""Sportfahrwerk"", ""Sportsitze"", ""Traktionskontrolle"", ""Tuner/Radio"", ""Zentralverriegelung""]"
4888,167957,Automatik,03/2002,10/2021,170,"[""ABS"", ""Armlehne"", ""Elektr. Fensterheber"", ""ESP"", ""Leichtmetallfelgen"", ""Navigationssystem"", ""Nebelscheinwerfer"", ""Nichtraucher-Fahrzeug"", ""Regensensor"", ""Servolenkung"", ""Sitzheizung"", ""Traktionskontrolle"", ""Zentralverriegelung""]"
